,temperature,wind_mph,humid,total_Score
577,67,7.0,73,17
578,65,8.0,52,52
579,64,5.0,70,68
580,72,5.0,70,29
581,60,25.0,75,40
582,72,10.0,52,48
583,72,9.0,82,59
584,62,6.0,57,41
585,62,4.0,67,20
586,63,5.0,72,30
587,60,4.0,64,61
588,61,5.0,74,33
589,76,12.0,60,45
590,53,10.0,80,60
591,53,9.0,72,62
592,55,11.0,74,52
593,46,9.0,56,37
594,56,9.0,58,38
595,56,7.0,68,50
596,70,9.0,76,37
597,50,12.0,62,23
598,53,12.0,63,61
599,48,5.0,74,34
600,50,10.0,74,51
601,52,13.0,70,35
602,49,10.0,63,37
603,58,12.0,46,51
604,67,12.0,54,44
605,74,8.0,59,63
606,62,12.0,63,21
607,64,10.0,84,43
608,64,10.0,62,41
609,59,4.0,77,53
610,64,12.0,73,59
611,36,9.0,77,42
612,43,11.0,66,17
613,64,14.0,81,23
614,44,13.0,74,20
615,51,15.0,66,45
616,66,9.0,76,51
617,48,10.0,41,27
618,56,6.0,81,37
619,51,10.0,64,51
620,58,6.0,83,46
621,59,10.0,78,34
622,60,9.0,72,51
623,46,14.0,43,59
624,64,6.0,58,73
625,64,9.0,76,20
626,39,13.0,62,31
627,37,9.0,59,38
628,58,10.0,62,66
629,43,13.0,42,40
630,53,12.0,59,41
631,46,14.0,62,47
632,38,11.0,73,20
633,35,11.0,83,22
634,47,15.0,52,47
635,54,15.0,79,34
636,31,13.0,80,37
637,48,14.0,66,37
638,40,8.0,71,61
639,58,12.0,80,26
640,62,9.0,77,69
641,34,7.0,70,60
642,38,8.0,78,34
643,39,9.0,64,39
644,30,13.0,74,63
645,30,8.0,60,27
646,32,7.0,77,34
647,36,16.0,44,43
648,32,8.0,69,17
649,63,8.0,79,27
650,32,8.0,76,19
651,58,20.0,79,69
652,71,15.0,68,40
653,55,11.0,80,55
654,49,11.0,90,29
655,33,19.0,78,44
656,42,5.0,83,113
657,44,8.0,70,30
658,50,19.0,94,9
659,20,12.0,39,50
660,43,9.0,90,48
661,18,8.0,78,89
662,20,14.0,75,33
663,21,10.0,40,37
664,20,12.0,72,27
665,57,8.0,86,26
666,58,11.0,82,24
667,53,15.0,74,54
668,30,8.0,57,65
669,52,6.0,71,55
670,54,15.0,79,75
671,41,14.0,79,26
672,28,13.0,76,44
673,39,8.0,79,48
674,50,14.0,49,24
675,47,8.0,77,90
676,46,7.0,86,44
677,44,8.0,66,65
678,35,10.0,82,69
679,58,8.0,61,50
680,40,8.0,75,61
681,54,7.0,90,45
682,70,12.0,80,69
683,69,12.0,78,59
684,75,7.0,66,40
685,71,5.0,71,54
686,69,6.0,77,34
687,72,5.0,90,57
688,68,7.0,71,35
689,67,6.0,79,48
690,70,11.0,72,42
691,55,14.0,57,45
692,49,9.0,60,23
693,72,6.0,63,40
694,54,11.0,73,44
695,77,4.0,65,62
696,54,14.0,63,42
697,62,14.0,78,45
698,56,12.0,64,48
699,61,8.0,68,49
700,71,12.0,57,48
701,68,12.0,62,66
702,56,9.0,66,72
703,58,11.0,64,58
704,65,15.0,56,24
705,53,8.0,81,23
706,50,9.0,72,31
707,44,15.0,93,58
708,57,7.0,86,31
709,61,12.0,88,45
710,72,9.0,33,51
711,61,12.0,78,27
712,55,10.0,60,48
713,60,14.0,82,44
714,58,6.0,70,55
715,56,6.0,84,17
716,72,13.0,83,24
717,54,6.0,77,51
718,67,6.0,64,40
719,59,13.0,76,36
720,58,8.0,79,17
721,55,7.0,87,48
722,40,8.0,68,27
723,43,5.0,59,45
724,63,10.0,73,56
725,59,12.0,39,62
726,54,17.0,51,40
727,44,4.0,70,24
728,61,11.0,87,40
729,54,10.0,46,69
730,66,12.0,75,24
731,46,12.0,47,72
732,42,13.0,70,45
733,58,15.0,52,48
734,46,8.0,51,35
735,49,8.0,49,41
736,43,5.0,69,30
737,60,13.0,63,54
738,50,12.0,61,55
739,59,8.0,79,24
740,26,13.0,60,51
741,32,15.0,72,40
742,39,15.0,51,23
743,46,6.0,56,44
744,38,12.0,58,48
745,31,17.0,65,48
746,42,18.0,56,20
747,68,9.0,65,50
748,65,6.0,88,37
749,51,15.0,62,41
750,55,13.0,62,28
751,60,12.0,52,59
752,49,15.0,64,62
753,60,8.0,58,56
754,44,18.0,53,69
755,32,12.0,63,13
756,0,0.0,0,24
757,33,10.0,67,33
758,43,20.0,52,48
759,46,11.0,36,34
760,55,8.0,50,47
761,45,24.0,44,48
762,57,12.0,55,67
763,33,11.0,73,38
764,41,11.0,70,68
765,39,14.0,72,30
766,55,12.0,43,35
767,72,10.0,84,51
768,48,14.0,56,51
769,46,15.0,59,79
770,36,9.0,93,70
771,53,13.0,82,42
772,56,8.0,43,23
773,25,8.0,79,57
