"Series Description","Market yield on U.S. Treasury securities at 2-year   constant maturity, quoted on investment basis"
1995-08,5.98
1995-09,5.81
1995-10,5.70
1995-11,5.48
1995-12,5.32
1996-01,5.11
1996-02,5.03
1996-03,5.66
1996-04,5.96
1996-05,6.10
1996-06,6.30
1996-07,6.27
1996-08,6.03
1996-09,6.23
1996-10,5.91
1996-11,5.70
1996-12,5.78
1997-01,6.01
1997-02,5.90
1997-03,6.22
1997-04,6.45
1997-05,6.28
1997-06,6.09
1997-07,5.89
1997-08,5.94
1997-09,5.88
1997-10,5.77
1997-11,5.71
1997-12,5.72
1998-01,5.36
1998-02,5.42
1998-03,5.56
1998-04,5.56
1998-05,5.59
1998-06,5.52
1998-07,5.46
1998-08,5.27
1998-09,4.67
1998-10,4.09
1998-11,4.54
1998-12,4.51
1999-01,4.62
1999-02,4.88
1999-03,5.05
1999-04,4.98
1999-05,5.25
1999-06,5.62
1999-07,5.55
1999-08,5.68
1999-09,5.66
1999-10,5.86
1999-11,5.86
1999-12,6.10
2000-01,6.44
2000-02,6.61
2000-03,6.53
2000-04,6.40
2000-05,6.81
2000-06,6.48
2000-07,6.34
2000-08,6.23
2000-09,6.08
2000-10,5.91
2000-11,5.88
2000-12,5.35
2001-01,4.76
2001-02,4.66
2001-03,4.34
2001-04,4.23
2001-05,4.26
2001-06,4.08
2001-07,4.04
2001-08,3.76
2001-09,3.12
2001-10,2.73
2001-11,2.78
2001-12,3.11
2002-01,3.03
2002-02,3.02
2002-03,3.56
2002-04,3.42
2002-05,3.26
2002-06,2.99
2002-07,2.56
2002-08,2.13
2002-09,2.00
2002-10,1.91
2002-11,1.92
2002-12,1.84
2003-01,1.74
2003-02,1.63
2003-03,1.57
2003-04,1.62
2003-05,1.42
2003-06,1.23
2003-07,1.47
2003-08,1.86
2003-09,1.71
2003-10,1.75
2003-11,1.93
2003-12,1.91
2004-01,1.76
2004-02,1.74
2004-03,1.58
2004-04,2.07
2004-05,2.53
2004-06,2.76
2004-07,2.64
2004-08,2.51
2004-09,2.53
2004-10,2.58
2004-11,2.85
2004-12,3.01
2005-01,3.22
2005-02,3.38
2005-03,3.73
2005-04,3.65
2005-05,3.64
2005-06,3.64
2005-07,3.87
2005-08,4.04
2005-09,3.95
2005-10,4.27
2005-11,4.42
2005-12,4.40
2006-01,4.40
2006-02,4.67
2006-03,4.73
2006-04,4.89
2006-05,4.97
2006-06,5.12
2006-07,5.12
2006-08,4.90
2006-09,4.77
2006-10,4.80
2006-11,4.74
2006-12,4.67
2007-01,4.88
2007-02,4.85
2007-03,4.57
2007-04,4.67
2007-05,4.77
2007-06,4.98
2007-07,4.82
2007-08,4.31
2007-09,4.01
2007-10,3.97
2007-11,3.34
2007-12,3.12
2008-01,2.48
2008-02,1.97
2008-03,1.62
2008-04,2.05
2008-05,2.45
2008-06,2.77
2008-07,2.57
2008-08,2.42
2008-09,2.08
2008-10,1.61
2008-11,1.21
2008-12,0.82
2009-01,0.81
2009-02,0.98
2009-03,0.93
2009-04,0.93
2009-05,0.93
2009-06,1.18
2009-07,1.02
2009-08,1.12
2009-09,0.96
2009-10,0.95
2009-11,0.80
2009-12,0.87
2010-01,0.93
2010-02,0.86
2010-03,0.96
2010-04,1.06
2010-05,0.83
2010-06,0.72
2010-07,0.62
2010-08,0.52
2010-09,0.48
2010-10,0.38
2010-11,0.45
2010-12,0.62
2011-01,0.61
2011-02,0.77
2011-03,0.70
2011-04,0.73
2011-05,0.56
2011-06,0.41
2011-07,0.41
2011-08,0.23
2011-09,0.21
2011-10,0.28
2011-11,0.25
2011-12,0.26
2012-01,0.24
2012-02,0.28
2012-03,0.34
2012-04,0.29
2012-05,0.29
2012-06,0.29
2012-07,0.25
2012-08,0.27
2012-09,0.26
2012-10,0.28
2012-11,0.27
2012-12,0.26
2013-01,0.27
2013-02,0.27
2013-03,0.26
2013-04,0.23
2013-05,0.25
2013-06,0.33
2013-07,0.34
2013-08,0.36
2013-09,0.40
2013-10,0.34
2013-11,0.30
2013-12,0.34
2014-01,0.39
2014-02,0.33
2014-03,0.40
2014-04,0.42
2014-05,0.39
2014-06,0.45
2014-07,0.51
2014-08,0.47
2014-09,0.57
